"option_d_uk","question_ru","option_b_uk","correct_answer","option_a_en","question_pl","option_b_ru","option_c_uz","option_d_ru","option_a_uz","option_c_en","option_b_pl","option_d_pl","question_en","option_c_uk","question_uz","option_a_uk","option_b_en","option_d_uz","option_a_ru","option_c_ru","option_d_en","option_b_uz","question_uk","option_c_pl","option_a_pl","id","created_date","updated_date","created_by_id","created_by","is_sample"
"Люблін","Какой город славится своими традиционными пряниками (pierniki)?","Торунь","B","Warsaw","Które miasto słynie z tradycyjnych pierników?","Торунь","Krakov","Люблин","Varshava","Krakow","Toruń","Lublin","Which city is famous for its traditional gingerbread (pierniki)?","Краків","Qaysi shahar o'zining an'anaviy zanjabilli nonlari (pierniki) bilan mashhur?","Варшава","Torun","Lublin","Варшава","Краков","Lublin","Torun","Яке місто славиться своїми традиційними пряниками (pierniki)?","Kraków","Warszawa","6a5b4a4130ee48091b30f2bb","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Лодзь","В окрестностях какого города находится знаменитая соляная шахта Величка?","Вроцлав","A","Krakow","W pobliżu którego miasta znajduje się słynna kopalnia soli w Wieliczce?","Вроцлав","Katovitsa","Лодзь","Krakov","Katowice","Wrocław","Łódź","In the vicinity of which city is the famous Wieliczka salt mine located?","Катовіце","Mashhur Wieliczka tuz koni qaysi shahar atrofida joylashgan?","Краків","Wroclaw","Lodz","Краков","Катовице","Lodz","Vrotslav","На околицях якого міста знаходиться знаменита соляна шахта Велічка?","Katowice","Kraków","6a5b4a4130ee48091b30f2bc","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Агнешка Холланд","Какой польский режиссер снял фильмы ""Пианист"" и ""Ребенок Розмари""?","Кшиштоф Кесльовський","C","Andrzej Wajda","Który polski reżyser wyreżyserował Pianistę i Dziecko Rosemary?","Кшиштоф Кесьлёвский","Roman Polanski","Агнешка Холланд","Andjey Vajda","Roman Polanski","Krzysztof Kieślowski","Agnieszka Holland","Which Polish director directed The Pianist and Rosemary's Baby?","Роман Поланськи","""Pianinochi"" va ""Rozmarinning chaqalog'i"" filmlarini qaysi polshalik rejissyor suratga olgan?","Анджей Вайда","Krzysztof Kieslowski","Agnieszka Holland","Анджей Вайда","Роман Полански","Agnieszka Holland","Kshishtof Kieslovskiy","Який польський режисер зняв фільми ""Піаніст"" та ""Дитина Розмарі""?","Roman Polański","Andrzej Wajda","6a5b4a4130ee48091b30f2bd","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Криниця-Здруй","Какой город называют ""зимней столицей Польши""?","Карпач","A","Zakopane","Które miasto jest nazywane „zimową stolicą Polski”?","Карпач","Shchirk","Крыница-Здруй","Zakopane","Szczyrk","Karpacz","Krynica-Zdrój","Which city is called the ""winter capital of Poland""?","Щирк","Qaysi shahar ""Polshaning qishki poytaxti"" deb ataladi?","Закопане","Karpacz","Krynica-Zdrój","Закопане","Щирк","Krynica-Zdrój","Karpacz","Яке місто називають ""зимовою столицею Польщі""?","Szczyrk","Zakopane","6a5b4a4130ee48091b30f2be","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Куяв'як","Как называется традиционный польский танец, которым открывают выпускные балы (studniówka)?","Краков'як","C","Mazurka","Jak nazywa się tradycyjny polski taniec rozpoczynający studniówkę?","Краковяк","Polonez","Куявяк","Mazurka","Polonaise","Krakowiak","Kujawiak","What is the name of the traditional Polish dance that opens graduation balls (studniówka)?","Полонез","Bitiruv ballarini (studniówka) ochadigan an'anaviy Polsha raqsining nomi nima?","Мазурка","Krakowiak","Kuyavyak","Мазурка","Полонез","Kuyavyak","Krakovyak","Як називається традиційний польський танець, яким відкривають випускні бали (studniówka)?","Polonez","Mazurek","6a5b4a4130ee48091b30f2bf","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"2010","В каком году Польша вступила в Европейский Союз?","2004","B","1999","W którym roku Polska przystąpiła do Unii Europejskiej?","2004","2007-yil","2010","1999-yil","2007","2004","2010","In what year did Poland join the European Union?","2007","Polsha Yevropa Ittifoqiga qaysi yilda qo'shildi?","1999","2004","2010-yil","1999","2007","2010","2004-yil","Якого року Польща вступила до Європейського Союзу?","2007","1999","6a5b4a4130ee48091b30f2c0","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Пеніни","Как называется самый высокий горный массив в Польше?","Бещади","C","Sudetenland","Jak nazywa się najwyższe pasmo górskie w Polsce?","Бещады","Tatra tog'lari","Пенины","Sudetenland","Tatra Mountains","Bieszczady","Pieniny","What is the name of the highest mountain range in Poland?","Татри","Polshadagi eng baland tog 'tizmasining nomi nima?","Судети","Bieszczady Mountains","Penini","Судеты","Татры","Peniny","Bieszczady tog'lari","Як називається найвищий гірський масив у Польщі?","Tatry","Sudety","6a5b4a4130ee48091b30f2c1","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Ян Чохральський","Кто из польских изобретателей создал первую в мире керосиновую лампу?","Ігнацій Лукасевич","B","Nicolaus Copernicus","Który polski wynalazca stworzył pierwszą na świecie lampę naftową?","Игнаций Лукасевич","Lyudvik Zamenxof","Ян Чохральский","Nikolay Kopernik","Ludwik Zamenhof","Ignacy Łukasiewicz","Jan Czochralski","Which Polish inventor created the world's first kerosene lamp?","Людвік Заменгоф","Dunyodagi birinchi kerosin lampasini qaysi polshalik ixtirochi yaratgan?","Микола Коперник","Ignacy Lukasiewicz","Jan Czochralski","Николай Коперник","Людвик Заменгоф","Jan Czochralski","Ignacy Lukasiewicz","Хто з польських винахідників створив першу у світі гасову лампу?","Ludwik Zamenhof","Mikołaj Kopernik","6a5b4a4130ee48091b30f2c2","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Тваруг","Как называется традиционный копченый сыр из овечьего молока, который делают в польских горах?","Радамер","C","Brindza","Jak nazywa się tradycyjny wędzony ser owczy, który wytwarza się w polskich górach?","Радамер","Oscypek","Тваруг","Brindza","Oscypek","Radamer","Twaróg","What is the name of the traditional smoked sheep's milk cheese made in the Polish mountains?","Осципек (Oscypek)","Polsha tog'larida tayyorlangan an'anaviy dudlangan qo'y suti pishlog'ining nomi nima?","Бріндза","Radamer","Tvarug","Бриндза","Осцыпек (Oscypek)","Tvarug","Radamer","Як називається традиційний копчений сир із овечого молока, який роблять у польських горах?","Oscypek","Bryndza","6a5b4a4130ee48091b30f2c3","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Лев","Кто изображен на гербе Варшавы?","Вавельський дракон","C","White eagle","Kto jest przedstawiony na herbie Warszawy?","Вавельский дракон","Suv parisi (Sirenka)","Лев","Oq burgut","Mermaid (Syrenka)","Smok Wawelski","Lew","Who is depicted on the coat of arms of Warsaw?","Русалка (Syrenka)","Varshava gerbida kim tasvirlangan?","Білий орел","The Wawel Dragon","Arslon","Белый орел","Русалка (Syrenka)","Lion","Wawel Ajdaho","Хто зображений на гербі Варшави?","Syrenka","Biały orzeł","6a5b4a4130ee48091b30f2c4","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Свиноуйсьце","Какой польский город является крупнейшим морским портом страны?","Гдиня","C","Szczecin","Które polskie miasto jest największym portem morskim w kraju?","Гдыня","Gdansk","Свиноуйсьце","Shchetsin","Gdansk","Gdynia","Świnoujście","Which Polish city is the country's largest seaport?","Гданськ","Polshaning qaysi shahri mamlakatning eng yirik dengiz porti hisoblanadi?","Щецін","Gdynia","Swinoujscie","Щецин","Гданьск","Swinoujscie","Gdiniya","Яке польське місто є найбільшим морським портом країни?","Gdańsk","Szczecin","6a5b4a4130ee48091b30f2c5","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Мазовія","Какой регион Польши называют ""Краем тысячи озер""?","Мазури","B","Silesia","Który region Polski nazywany jest „Krainą Tysiąca Jezior”?","Мазуры","Pomeraniya","Мазовия","Sileziya","Pomerania","Mazury","Mazowsze","Which region of Poland is called the ""Land of a Thousand Lakes""?","Поміряння","Polshaning qaysi mintaqasi ""Ming ko'l mamlakati"" deb ataladi?","Сілезія","Mazur","Mazoviya","Силезия","Померания","Mazovia","Mazur","Який регіон Польщі називають ""Краєм тисячі озер""?","Pomorze","Śląsk","6a5b4a4130ee48091b30f2c6","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Маріуш Пудзяновський","Кто из этих польских спортсменов является всемирно известным футболистом, нападающим?","Роберт Левандовський","B","Adam the Kid","Który z tych polskich sportowców jest światowej sławy piłkarzem, napastnikiem?","Роберт Левандовски","Kamil Stoch","Мариуш Пудзяновский","Adam Kid","Kamil Stoch","Robert Lewandowski","Mariusz Pudzianowski","Which of these Polish athletes is a world-famous football player, striker?","Каміль Стох","Ushbu polshalik sportchilardan qaysi biri dunyoga mashhur futbolchi, hujumchi?","Адам Малий","Robert Lewandowski","Mariush Pudzianowski","Адам Малыш","Камиль Стох","Mariusz Pudzianowski","Robert Levandovski","Хто з цих польських спортсменів є всесвітньо відомим футболістом, який нападає?","Kamil Stoch","Adam Dzieciak","6a5b4a4130ee48091b30f2c7","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Капусняк","Как называется традиционный польский суп из говяжьего рубца?","Крупник","A","Flaki","Jak nazywa się tradycyjna polska zupa z flaków wołowych?","Крупник","Chlodnik","Капусняк","Flaki","Chlodnik","Krupnik","Kapuśniak","What is the name of traditional Polish beef tripe soup?","Хлодник","An'anaviy Polsha mol go'shti sho'rvasining nomi nima?","Фляки (Flaki)","Krupnik","Kapusnyak","Фляки (Flaki)","Хлодник","Kapusnyak","Krupnik","Як називається традиційний польський суп із яловичого рубця?","Chłodnik","Flaki","6a5b4a4130ee48091b30f2c8","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Cebularz","Как называется популярный польский стрит-фуд — половинка багета, запеченная с грибами и сыром?","Kanapka","A","Zapiekanka (Casserole)","Jak nazywa się popularne polskie jedzenie uliczne – pół bagietki zapiekanej z pieczarkami i serem?","Kanapka","Tost","Cebularz","Zapiekanka (Kastryulka)","Toast","Kanapka","Cebularz","What is the name of the popular Polish street food—half a baguette baked with mushrooms and cheese?","Tost","Polshaning mashhur ko'cha taomi — qo'ziqorin va pishloq bilan pishirilgan yarim bagetning nomi nima?","Zapiekanka (Запіканка)","Kanapka","Cebularz","Zapiekanka (Запеканка)","Tost","Cebularz","Kanapka","Як називається популярний польський стріт-фуд — половинка багету, запечена з грибами та сиром?","Toast","Zapiekanka","6a5b4a4130ee48091b30f2c9","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Олешківські піски","Какая пустыня, единственная в своем роде в Европе, находится на территории Польши?","Гобі","C","Sahara","Która pustynia, jedyna tego rodzaju w Europie, znajduje się w Polsce?","Гоби","Blendovskaya cho'li","Олешковские пески","Sahara","Blendovskaya Desert","Gobi","Piaski Oleszkowskie","Which desert, the only one of its kind in Europe, is located in Poland?","Блендівська пустеля","Yevropadagi o'z turidagi yagona cho'l Polshada joylashgan qaysi cho'l?","Цукру","Gobi","Oleshkovskiy qumlari","Сахара","Блендовская пустыня","Oleshkovsky Sands","Gobi","Яка пустеля, єдина у своєму роді в Європі, знаходиться на території Польщі?","Pustynia Błędowska","Sahara","6a5b4a4130ee48091b30f2ca","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Білосток","Какой польский город известен своей текстильной промышленностью и знаменитой улицей Пётрковской?","Познань","A","Lodz","Które polskie miasto słynie z przemysłu włókienniczego oraz ulicy Piotrkowskiej?","Познань","Lublin","Белосток","Lodz","Lublin","Poznań","Białystok","Which Polish city is famous for its textile industry and the famous Piotrkowska Street?","Люблін","Polshaning qaysi shahri o'zining to'qimachilik sanoati va mashhur Piotrkovska ko'chasi bilan mashhur?","Лодзь","Poznan","Bialistok","Лодзь","Люблин","Bialystok","Poznan","Яке польське місто відоме своєю текстильною промисловістю та знаменитою вулицею Петрківською?","Lublin","Łódź","6a5b4a4130ee48091b30f2cb","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Замок у Недзіці","Какой замок в Польше является крупнейшим кирпичным замком в мире и бывшей резиденцией крестоносцев?","Ксьонж","C","Wawel","Który zamek w Polsce jest największym ceglanym zamkiem na świecie i dawną rezydencją krzyżacką?","Ксёнж","Malbork qal'asi","Замок в Недзице","Vavel","Malbork Castle","Zamek Książ","Zamek w Niedzicy","Which castle in Poland is the largest brick castle in the world and a former Teutonic Knights' residence?","Замок у Мальборку","Polshadagi qaysi qal'a dunyodagi eng katta g'isht qal'a va sobiq Tevton ritsarlarining qarorgohi?","Вавель","Ksenzh","Niedzicadagi qal'a","Вавель","Замок в Мальборке","Castle in Niedzica","Ksenj","Який замок у Польщі є найбільшим цегляним замком у світі та колишньою резиденцією хрестоносців?","Zamek w Malborku","Wawel","6a5b4a4130ee48091b30f2cc","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Mikołajki","Как называется польский рождественский сочельник, во время которого на стол подают 12 постных блюд?","Пастерка","A","Wigilia (Vigilia)","Jak nazywa się polskie święto, podczas którego podaje się 12 potraw wielkopostnych?","Pasterka","Silvester","Mikołajki","Vigiliya (Vigiliya)","Sylwester","Pasterka","Mikołajki","What is the name of the Polish Christmas Eve feast during which 12 Lenten dishes are served?","Sylwester","Polsha Rojdestvo arafasida 12 ta Ro'za taomi tortiladigan ziyofatning nomi nima?","Wigilia (Вігілія)","Pasterka","Mikołajki","Wigilia (Вигилия)","Sylwester","Mikołajki","Pasterka","Як називається польський різдвяний святвечір, під час якого на стіл подають 12 пісних страв?","Sylwester","Wigilia","6a5b4a4130ee48091b30f2cd","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Фарбують яйця","Что традиционно делают в Польше в ночь на Анджейки (Andrzejki)?","Обливаються водою","C","Jumping over the fire","Co tradycyjnie robi się w Polsce w Noc Andrzejkową?","Обливаются водой","Ular folbinlikni uyushtirishadi (masalan, mum quyish)","Красят яйца","Olov ustidan sakrash","They organize fortune telling (for example, pouring wax)","Polewanie się wodą","Malowanie jajek","What is traditionally done in Poland on Andrzejki Night?","Влаштовують ворожіння (наприклад, ллють віск)","Andjeyki kechasida Polshada an'anaviy ravishda nima qilinadi?","Стрибають через багаття","They pour water on themselves","Ular tuxumni bo'yashadi","Прыгают через костер","Устраивают гадания (например, льют воск)","They paint eggs","Ular o'zlariga suv quyishadi","Що традиційно роблять у Польщі у ніч на Анджейки (Andrzejki)?","Wróżenie (lanie wosku)","Skakanie przez ogień","6a5b4a4130ee48091b30f2ce","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Збігнєв Прайснер","Какой польский композитор написал музыку к голливудским фильмам ""Дракула"" и ""Пианист""?","Войцех Кіляр","B","Fryderyk Chopin","Który polski kompozytor napisał muzykę do hollywoodzkich filmów „Drakula” i „Pianista”?","Войцех Киляр","Krishtof Penderecki","Збигнев Прайснер","Frederik Shopen","Krzysztof Penderecki","Wojciech Kilar","Zbigniew Preisner","Which Polish composer wrote the music for the Hollywood films ""Dracula"" and ""The Pianist""?","Кшиштоф Пендерецький","Gollivudning ""Drakula"" va ""Pianinochi"" filmlari uchun musiqani qaysi polshalik bastakor yozgan?","Фрідерік Шопен","Wojciech Kilar","Zbignev Preisner","Фридерик Шопен","Кшиштоф Пендерецкий","Zbigniew Preisner","Voytsex Kilar","Який польський композитор написав музику до голлівудських фільмів ""Дракула"" та ""Піаніст""?","Krzysztof Penderecki","Fryderyk Chopin","6a5b4a4130ee48091b30f2cf","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Литва","Какая страна НЕ имеет общей сухопутной границы с Польшей?","Чехія","C","Germany","Który kraj NIE ma granicy lądowej z Polską?","Чехия","Vengriya","Литва","Germaniya","Hungary","Czechy","Litwa","Which country does NOT share a land border with Poland?","Угорщина","Qaysi davlat Polsha bilan quruqlik chegarasiga ega emas?","Німеччина","Czech Republic","Litva","Германия","Венгрия","Lithuania","Chex Respublikasi","Яка країна не має спільного сухопутного кордону з Польщею?","Węgry","Niemcy","6a5b4a4130ee48091b30f2d0","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Ogórkowa (Огірковий суп)","Как называется популярный в Польше куриный бульон с лапшой, который часто подают по воскресеньям?","Barszcz (Борщ)","A","Rosół (Rosul)","Jak nazywa się popularna w Polsce zupa z kurczakiem i makaronem, którą często podaje się w niedzielę?","Barszcz (Борщ)","Pomidorowa (Pomidor sho'rva)","Ogórkowa (Огуречный суп)","Rosół (Rosul)","Pomidorowa (Tomato Soup)","Barszcz","Ogórkowa","What is the name of the popular chicken noodle soup in Poland that is often served on Sundays?","Pomidorowa (Томатний суп)","Polshada yakshanba kunlari ko'pincha tortiladigan mashhur tovuqli makaron sho'rvaning nomi nima?","Rosół (Росул)","Barszcz (Borscht)","Ogórkowa (Bodring sho'rva)","Rosół (Росул)","Pomidorowa (Томатный суп)","Ogórkowa (Cucumber Soup)","Barszcz (Borscht)","Як називається популярний у Польщі курячий бульйон із локшиною, який часто подають у неділю?","Pomidorowa","Rosół","6a5b4a4130ee48091b30f2d1","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Bloober Team","Какая польская студия разработала серию игр «Ведьмак» (The Witcher)?","CD Projekt RED","B","Techland","Które polskie studio stworzyło serię gier Wiedźmin?","CD Projekt RED","11 Bit Studios","Bloober Team","Texnologiya","11 Bit Studios","CD Projekt RED","Zespół Bloobera","Which Polish studio developed The Witcher game series?","11 bit studios","The Witcher o'yin seriyasini qaysi Polsha studiyasi ishlab chiqqan?","Techland","CD Projekt RED","Bloober jamoasi","Techland","11 bit studios","Bloober Team","CD loyihasi RED","Яка польська студія розробила серію ігор ""Відьмак"" (The Witcher)?","11 Bit Studios","Techland","6a5b4a4130ee48091b30f2d2","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Агнешка Осецька","Кто из этих польских поэтесс получил Нобелевскую премию по литературе в 1996 году?","Ольга Токарчук","A","Wisława Szymborska","Która z tych polskich poetek otrzymała w 1996 roku literacką Nagrodę Nobla?","Ольга Токарчук","Mariya Konopnitskaya","Агнешка Осецкая","Wisława Szymborska","Maria Konopnitskaya","Olga Tokarczuk","Agnieszka Osiecka","Which of these Polish poets received the Nobel Prize in Literature in 1996?","Марія Конопницька","Ushbu polyak shoirlaridan qaysi biri 1996-yilda adabiyot bo'yicha Nobel mukofotiga sazovor bo'lgan?","Віслава Шимборська","Olga Tokarczuk","Agnieszka Osiecka","Вислава Шимборская","Мария Конопницкая","Agnieszka Osiecka","Olga Tokarchuk","Хто з цих польських поетес отримав Нобелівську премію з літератури у 1996 році?","Maria Konopnicka","Wisława Szymborska","6a5b4a4130ee48091b30f2d3","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Катажина Бонда","Какая польская писательница стала лауреатом Нобелевской премии по литературе за 2018 год?","Ольга Токарчук","B","Eliza Orzeszko","Która polska pisarka otrzymała Literacką Nagrodę Nobla w 2018 roku?","Ольга Токарчук","Dorota Maslovskaya","Катажина Бонда","Eliza Orzeszko","Dorota Maslovskaya","Olga Tokarczuk","Katarzyna Bonda","Which Polish writer won the 2018 Nobel Prize in Literature?","Дорота Масловська","2018-yilgi adabiyot bo'yicha Nobel mukofotiga qaysi polshalik yozuvchi sazovor bo'ldi?","Еліза Ожешко","Olga Tokarczuk","Katarzyna Bonda","Элиза Ожешко","Дорота Масловская","Katarzyna Bonda","Olga Tokarchuk","Яка польська письменниця стала лауреатом Нобелівської премії з літератури за 2018 рік?","Dorota Masłowska","Eliza Orzeszko","6a5b4a4130ee48091b30f2d4","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Халупи","Какое озеро является самым большим в Польше?","Лебсько","C","Mamry","Które jezioro jest największe w Polsce?","Лебско","Sniardwy","Халупы","Mamri","Sniardwy","Lebsko","Chałupy","Which lake is the largest in Poland?","Снярдви","Polshadagi eng katta ko'l qaysi?","Мамри","Lebsko","kulbalar","Мамры","Снярдвы","huts","Lebsko","Яке озеро є найбільшим у Польщі?","Śniardwy","Mamry","6a5b4a4130ee48091b30f2d5","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Колобжег","В каком польском городе находится самый длинный деревянный пирс (molo) в Европе?","Гдиня","C","Gdansk","Które polskie miasto ma najdłuższe drewniane molo w Europie?","Гдыня","Sopot","Колобжег","Gdansk","Sopot","Gdynia","Kołobrzeg","Which Polish city has the longest wooden pier (molo) in Europe?","Сопіт","Yevropadagi eng uzun yog'och iskala (molo) Polshaning qaysi shahrida joylashgan?","Гданськ","Gdynia","Kolobrzeg","Гданьск","Сопот","Kolobrzeg","Gdiniya","У якому польському місті знаходиться найдовший дерев'яний пірс (molo) у Європі?","Sopot","Gdańsk","6a5b4a4130ee48091b30f2d6","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Гніздо","Какой город был первой исторической столицей Польши?","Краків","D","Warsaw","Które miasto było pierwszą historyczną stolicą Polski?","Краков","Poznan","Гнезно","Varshava","Poznan","Kraków","Gniezno","What city was the first historical capital of Poland?","Познань","Polshaning birinchi tarixiy poytaxti qaysi shahar bo'lgan?","Варшава","Krakow","Gniezno","Варшава","Познань","Gniezno","Krakov","Яке місто було першою історичною столицею Польщі?","Poznań","Warszawa","6a5b4a4130ee48091b30f2d7","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Люблін","С каким городом связана легенда о двух бодающихся козликах на башне ратуши?","Вроцлав","A","Poznan","Z którym miastem wiąże się legenda o dwóch kozach bodących się na wieży ratusza?","Вроцлав","Torun","Люблин","Poznan","Torun","Wrocław","Lublin","Which city is associated with the legend of two goats butting each other on the town hall tower?","Торунь","Shahar hokimiyati minorasida ikki echkining bir-birini urishishi haqidagi afsona qaysi shahar bilan bog'liq?","Познань","Wroclaw","Lublin","Познань","Торунь","Lublin","Vrotslav","З яким містом пов'язана легенда про двох козликів на вежі ратуші?","Toruń","Poznań","6a5b4a4130ee48091b30f2d8","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Вадовиці","В каком городе находится монастырь Ясная Гура с чудотворной иконой Чёрной Мадонны?","Краків","A","Czestochowa","W którym mieście znajduje się klasztor na Jasnej Górze z cudownym obrazem Czarnej Madonny?","Краков","Gniezno","Вадовице","Czestochowa","Gniezno","Kraków","Wadowice","In which city is the Jasna Góra Monastery with the miraculous icon of the Black Madonna located?","Гніздо","Qora Madonnaning mo''jizaviy ikonasi joylashgan Jasna Gora monastiri qaysi shaharda joylashgan?","Ченстохова","Krakow","Vadowice","Ченстохова","Гнезно","Wadowice","Krakov","У якому місті знаходиться монастир Ясна Гура з чудотворною іконою Чорної Мадонни?","Gniezno","Częstochowa","6a5b4a4130ee48091b30f2d9","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Камо прийдеш (Quo Vadis)","За какой роман Генрик Сенкевич получил Нобелевскую премию по литературе в 1905 году?","Потоп","D","By fire and sword","Za którą powieść Henryk Sienkiewicz otrzymał w 1905 roku literacką Nagrodę Nobla?","Потоп","Salibchilar","Камо грядеши (Quo Vadis)","Olov va qilich bilan","Crusaders","Powódź","Quo Vadis","For which novel did Henryk Sienkiewicz receive the Nobel Prize in Literature in 1905?","Хрестоносці","Genrix Senkevich 1905-yilda qaysi romani uchun adabiyot bo'yicha Nobel mukofotiga sazovor bo'lgan?","Вогнем та мечем","Flood","Quo Vadis","Огнём и мечом","Крестоносцы","Quo Vadis","To'fon","За який роман Генрік Сенкевич отримав Нобелівську премію з літератури у 1905 році?","Krzyżacy","Ogniem i mieczem","6a5b4a4130ee48091b30f2da","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Kasztanki","Как называются популярные польские конфеты из молочной помадки?","Krówki (Крувки)","B","Ptasie mleczko","Jak nazywa się popularny polski cukierek mleczny o smaku fudge?","Krówki (Крувки)","Michałki","Kasztanki","Ptasie mleczko","Michałki","Krówki","Kasztanki","What is the name of the popular Polish milk fudge candy?","Michałki","Polshada mashhur sutli fudge konfetining nomi nima?","Ptasie mleczko","Krówki (Krówki)","Kasztanki","Ptasie mleczko","Michałki","Kasztanki","Krówki (Krówki)","Як називаються популярні польські цукерки із молочної помадки?","Michałki","Ptasie mleczko","6a5b4a4130ee48091b30f2db","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"2010","В каком году Польша стала членом НАТО?","1999","B","1990","W którym roku Polska stała się członkiem NATO?","1999","2004-yil","2010","1990-yil","2004","1999","2010","In what year did Poland become a member of NATO?","2004","Polsha qaysi yilda NATOga a'zo bo'ldi?","1990","1999","2010-yil","1990","2004","2010","1999-yil","Якого року Польща стала членом НАТО?","2004","1990","6a5b4a4130ee48091b30f2dc","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
