"option_d_uk","question_ru","option_b_uk","correct_answer","option_a_en","question_pl","option_b_ru","option_c_uz","option_d_ru","option_a_uz","option_c_en","option_b_pl","option_d_pl","question_en","option_c_uk","question_uz","option_a_uk","option_b_en","option_d_uz","option_a_ru","option_c_ru","option_d_en","option_b_uz","question_uk","option_c_pl","option_a_pl","id","created_date","updated_date","created_by_id","created_by","is_sample"
"Севара Назархан","Кто из перечисленных считается одной из ведущих узбекских поэтесс XX века, известной своей лирической поэзией?","Тамара Ханум","A","Zulfiya","Która jest uważana za jedną z czołowych uzbeckich poetek XX wieku, znaną z liryki?","Тамара Ханум","Yulduz Usmonova","Севара Назархан","Zulfiya","Yulduz Usmonova","Tamara Chanum","Sevara Nazarchan","Which is considered one of the foremost Uzbek poetesses of the 20th century, known for her lyric poetry?","Юлдуз Усманова","Lirik she'riyati bilan mashhur bo'lgan XX asrning yetakchi o'zbek shoiralaridan biri kim hisoblanadi?","Зульфія","Tamara Khanum","Sevara Nazarxon","Зульфия","Юлдуз Усманова","Sevara Nazarkhan","Tamara Xonum","Хто з перерахованих вважається однією з провідних узбецьких поетес XX століття, відомою своєю ліричною поезією?","Julduz Usmanowa","Zulfia","1980ecfbc52a4fc7a83be8cc","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Гафур Гулям","Какой узбекский писатель является автором известного романа о жизни поэта Алишера Навои?","Абдулла Кадирі","A","Oybek","Który uzbecki pisarz jest autorem słynnej powieści o życiu poety Alishera Nawoiego?","Абдулла Кадыри","Cho'lpon","Гафур Гулям","Oybek","Cho'lpon","Abdulla Kadyri","Gafur Gulam","Which Uzbek writer authored a famous novel about the life of the poet Alisher Navoiy?","Чолпан","Qaysi o'zbek yozuvchisi shoir Alisher Navoiy hayoti haqidagi mashhur romanning muallifi hisoblanadi?","Ойбек","Abdulla Qodiriy","G'afur G'ulom","Ойбек","Чолпан","G'afur G'ulom","Abdulla Qodiriy","Який узбецький письменник є автором відомого роману про життя поета Алішера Навої?","Czolpan","Ojbek","9acedd7d00934598bfcf8228","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Хамід Алімджан","Какой узбекский писатель наиболее известен популярной повестью «Шум бола» («Озорной мальчик»)?","Ойбек","A","G'afur G'ulom","Który uzbecki pisarz jest najbardziej znany z popularnej noweli ""Shum bola"" (""Nicpoń"")?","Ойбек","Abdulla Qodiriy","Хамид Алимджан","G'afur G'ulom","Abdulla Qodiriy","Ojbek","Chamid Olimdżan","Which Uzbek writer is best known for the popular novella ""Shum bola"" (""The Mischievous Boy"")?","Абдулла Кадирі","Mashhur ""Shum bola"" qissasi bilan tanilgan o'zbek yozuvchisi kim?","Гафур Гулям","Oybek","Hamid Olimjon","Гафур Гулям","Абдулла Кадыри","Hamid Olimjon","Oybek","Який узбецький письменник найбільш відомий популярною повістю «Шум бола» («Пустотливий хлопчик»)?","Abdulla Kadyri","Gafur Gulam","bb1cdb999f6c4ca6acb496e5","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Улугбек","Какой современный узбекский поэт, видная фигура узбекской литературы XX века, удостоен звания «Народный поэт Узбекистана»?","Алішер Навої","A","Erkin Vohidov","Który współczesny uzbecki poeta, czołowa postać XX-wiecznej literatury uzbeckiej, został uhonorowany tytułem ""Poeta Ludowy Uzbekistanu""?","Алишер Навои","Amir Temur","Улугбек","Erkin Vohidov","Amir Temur","Alisher Nawoi","Ulugbek","Which modern Uzbek poet, a leading figure of 20th-century Uzbek literature, is honored with the title ""People's Poet of Uzbekistan""?","Амір Темур","O'zbek adabiyotining yirik XX asr namoyandasi bo'lgan qaysi zamonaviy o'zbek shoiri ""O'zbekiston xalq shoiri"" unvoniga sazovor bo'lgan?","Еркін Вахідов","Alisher Navoiy","Ulug'bek","Эркин Вахидов","Амир Темур","Ulugbek","Alisher Navoiy","Який сучасний узбецький поет, видатна постать узбецької літератури XX століття, удостоєний звання «Народний поет Узбекистану»?","Amir Timur","Erkin Wachidow","b3a8aa8225bb4f869dfcf086","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Зульфія","Какой узбекский поэт написал слова государственного гимна Узбекистана?","Еркін Вахідов","A","Abdulla Oripov","Który uzbecki poeta napisał słowa hymnu narodowego Uzbekistanu?","Эркин Вахидов","Cho'lpon","Зульфия","Abdulla Oripov","Cho'lpon","Erkin Wachidow","Zulfia","Which Uzbek poet wrote the lyrics of Uzbekistan's national anthem?","Чолпан","O'zbekiston davlat madhiyasining so'zlarini qaysi o'zbek shoiri yozgan?","Абдулла Аріпов","Erkin Vohidov","Zulfiya","Абдулла Арипов","Чолпан","Zulfiya","Erkin Vohidov","Який узбецький поет написав слова державного гімну Узбекистану?","Czolpan","Abdulla Aripow","39a2e0ed3d984420b6bf28a4","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Усман Насир","Какой узбекский поэт, супруг поэтессы Зульфии, известен своей романтической и патриотической лирикой раннего советского периода?","Абдулла Аріпов","A","Hamid Olimjon","Który uzbecki poeta, mąż poetki Zulfii, jest znany z romantycznej i patriotycznej liryki wczesnej epoki radzieckiej?","Абдулла Арипов","Erkin Vohidov","Усман Насыр","Hamid Olimjon","Erkin Vohidov","Abdulla Aripow","Usmon Nosir","Which Uzbek poet, husband of the poetess Zulfiya, is known for romantic and patriotic verse from the early Soviet era?","Еркін Вахідов","Shoira Zulfiyaning turmush o'rtog'i bo'lgan, sovet davri boshlarining romantik va vatanparvarlik she'riyati bilan tanilgan o'zbek shoiri kim?","Хамід Алімджан","Abdulla Oripov","Usmon Nosir","Хамид Алимджан","Эркин Вахидов","Usmon Nosir","Abdulla Oripov","Який узбецький поет, чоловік поетеси Зульфії, відомий своєю романтичною та патріотичною лірикою раннього радянського періоду?","Erkin Wachidow","Chamid Olimdżan","54f0ca8c628842288f7b1981","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Севара Назархан","Кто считается пионером узбекского профессионального танца и театра, став одной из первых узбекских женщин, выступивших на сцене без чадры?","Зульфія","A","Tamara Khanum","Kto jest uważany za pionierkę uzbeckiego profesjonalnego tańca i teatru, stając się jedną z pierwszych uzbeckich kobiet występujących na scenie bez zasłony?","Зульфия","Yulduz Usmonova","Севара Назархан","Tamara Xonum","Yulduz Usmonova","Zulfia","Sevara Nazarchan","Who is regarded as a pioneer of Uzbek professional dance and theatre, becoming one of the first Uzbek women to perform on stage unveiled?","Юлдуз Усманова","O'zbek professional raqsi va teatrining kashshofi hisoblanib, sahnada parda-yu-yuzsiz chiqqan birinchi o'zbek ayollaridan biriga aylangan kim edi?","Тамара Ханум","Zulfiya","Sevara Nazarxon","Тамара Ханум","Юлдуз Усманова","Sevara Nazarkhan","Zulfiya","Хто вважається піонером узбецького професійного танцю та театру, ставши однією з перших узбецьких жінок, які виступили на сцені без чадри?","Julduz Usmanowa","Tamara Chanum","50104fa8028a4ad6a9cc53d5","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Магнус Карлсен","Какой узбекский шахматный гроссмейстер выиграл чемпионат мира по шахматам ФИДЕ в 2004 году?","Нодірбек Абдусаттаров","A","Rustam Kasimdjanov","Który uzbecki arcymistrz szachowy wygrał Mistrzostwa Świata FIDE w szachach w 2004 roku?","Нодирбек Абдусаттаров","Garri Kasparov","Магнус Карлсен","Rustam Qosimjonov","Garry Kasparov","Nodirbek Abdusattorow","Magnus Carlsen","Which Uzbek chess grandmaster won the FIDE World Chess Championship in 2004?","Гаррі Каспаров","2004-yilda FIDE Jahon shaxmat chempionatida qaysi o'zbek grossmeysteri g'olib chiqqan?","Рустам Касимджанов","Nodirbek Abdusattorov","Magnus Karlsen","Рустам Касымджанов","Гарри Каспаров","Magnus Carlsen","Nodirbek Abdusattorov","Який узбецький шаховий гросмейстер виграв чемпіонат світу з шахів ФІДЕ у 2004 році?","Garri Kasparow","Rustam Kasimdżanow","82bbdbd2fda2471e9c7002bb","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Ян Непомнящий","Какой молодой узбекский шахматист стал самым молодым в истории чемпионом мира по быстрым шахматам в 2021 году, в возрасте 17 лет?","Рустам Касимджанов","A","Nodirbek Abdusattorov","Który młody uzbecki szachista został najmłodszym w historii Mistrzem Świata w szachach szybkich w 2021 roku, w wieku 17 lat?","Рустам Касымджанов","Magnus Karlsen","Ян Непомнящий","Nodirbek Abdusattorov","Magnus Carlsen","Rustam Kasimdżanow","Jan Niepomniaszczij","Which young Uzbek chess player became the youngest-ever World Rapid Chess Champion in 2021, at age 17?","Магнус Карлсен","2021-yilda 17 yoshida tarixdagi eng yosh Jahon tez shaxmat chempioni bo'lgan yosh o'zbek shaxmatchisi kim edi?","Нодірбек Абдусаттаров","Rustam Kasimdjanov","Yan Nepomnyashchiy","Нодирбек Абдусаттаров","Магнус Карлсен","Ian Nepomniachtchi","Rustam Qosimjonov","Який молодий узбецький шахіст став наймолодшим в історії чемпіоном світу з швидких шахів у 2021 році, у віці 17 років?","Magnus Carlsen","Nodirbek Abdusattorow","c68730f6633d41c29f48c008","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Севара Назархан","Какая узбекская гимнастка установила рекорд, приняв участие в восьми подряд Олимпийских играх с 1992 по 2021 год?","Тамара Ханум","A","Oksana Chusovitina","Która uzbecka gimnastyczka ustanowiła rekord, startując na ośmiu kolejnych Igrzyskach Olimpijskich w latach 1992-2021?","Тамара Ханум","Yulduz Usmonova","Севара Назархан","Oksana Chusovitina","Yulduz Usmonova","Tamara Chanum","Sevara Nazarchan","Which Uzbek gymnast set a record by competing at eight consecutive Olympic Games between 1992 and 2021?","Юлдуз Усманова","1992-2021-yillar oralig'ida ketma-ket sakkiz Olimpiada o'yinlarida qatnashib rekord o'rnatgan o'zbek gimnastkasi kim?","Оксана Чусовітіна","Tamara Khanum","Sevara Nazarxon","Оксана Чусовитина","Юлдуз Усманова","Sevara Nazarkhan","Tamara Xonum","Яка узбецька гімнастка встановила рекорд, взявши участь у восьми поспіль Олімпійських іграх з 1992 по 2021 рік?","Julduz Usmanowa","Oksana Czuszowitina","b4fcfdcaaeb14d67bcf8ced0","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Тамара Ханум","Какая узбекская певица известна в мире тем, что сочетает традиционную узбекскую музыку с современными и электронными стилями?","Юлдуз Усманова","A","Sevara Nazarkhan","Która uzbecka piosenkarka jest znana na świecie z łączenia tradycyjnej muzyki uzbeckiej ze stylami nowoczesnymi i elektronicznymi?","Юлдуз Усманова","Zulfiya","Тамара Ханум","Sevara Nazarxon","Zulfiya","Julduz Usmanowa","Tamara Chanum","Which Uzbek singer is known internationally for blending traditional Uzbek music with modern and electronic styles?","Зульфія","Qaysi o'zbek qo'shiqchisi an'anaviy o'zbek musiqasini zamonaviy va elektron uslublar bilan uyg'unlashtirishi bilan xalqaro miqyosda tanilgan?","Севара Назархан","Yulduz Usmonova","Tamara Xonum","Севара Назархан","Зульфия","Tamara Khanum","Yulduz Usmonova","Яка узбецька співачка відома у світі тим, що поєднує традиційну узбецьку музику із сучасними та електронними стилями?","Zulfia","Sevara Nazarchan","ab5e26241a47470cba53d29d","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Весільного обряду","«Ялла» — это название известного узбекского чего, что известно сочетанием народных мелодий с современными инструментами ещё с советской эпохи?","Танцювального стилю","A","Music group (band)","""Yalla"" to nazwa znanego uzbeckiego czego, znanego z łączenia melodii ludowych z nowoczesnymi instrumentami od czasów radzieckich?","Танцевального стиля","Non turi","Свадебного обряда","Musiqa guruhi","Type of bread","Stylu tanecznego","Rytuału weselnego","""Yalla"" is the name of a famous Uzbek what, known for blending folk melodies with modern instruments since the Soviet era?","Виду хліба","""Yalla"" sovet davridan buyon xalq kuylarini zamonaviy asboblar bilan uyg'unlashtirishi bilan mashhur bo'lgan o'zbekistonlik nima nomi?","Музичного гурту","Dance style","To'y marosimi","Музыкальной группы","Вида хлеба","Wedding ritual","Raqs uslubi","«Ялла» — це назва відомого узбецького чого, що відоме поєднанням народних мелодій із сучасними інструментами ще з радянської епохи?","Rodzaju chleba","Zespołu muzycznego","5ac0520d686c4402b572f897","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Озодбек Назарбеков","Кто считается одним из пионеров современного узбекского эстрадного пения в середине XX века?","Юлдуз Усманова","A","Botir Zakirov","Kto jest uważany za jednego z pionierów współczesnego uzbeckiego śpiewu estradowego w połowie XX wieku?","Юлдуз Усманова","Sevara Nazarxon","Озодбек Назарбеков","Botir Zokirov","Sevara Nazarkhan","Julduz Usmanowa","Ozodbek Nazarbekow","Who is considered one of the pioneers of modern Uzbek pop (estrada) singing in the mid-20th century?","Севара Назархан","XX asr o'rtalarida zamonaviy o'zbek estrada qo'shiqchiligining kashshoflaridan biri kim hisoblanadi?","Батир Закіров","Yulduz Usmonova","Ozodbek Nazarbekov","Батыр Закиров","Севара Назархан","Ozodbek Nazarbekov","Yulduz Usmonova","Хто вважається одним із піонерів сучасного узбецького естрадного співу в середині XX століття?","Sevara Nazarchan","Botir Zakirow","6f856643bc6143cd8a54a382","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Марк Рейзен","Кто основал в Ташкенте в 1976 году театр «Ильхом», считающийся первым независимым театром в Советском Союзе?","Тамара Ханум","A","Mark Weil","Kto założył w Taszkencie w 1976 roku Teatr Ilkhom, uważany za pierwszy niezależny teatr w Związku Radzieckim?","Тамара Ханум","Hamza Hakimzoda Niyoziy","Марк Рейзен","Mark Vayl","Hamza Hakimzoda Niyoziy","Tamara Chanum","Mark Rejzen","Who founded the Ilkhom Theatre in Tashkent in 1976, considered the first independent theatre in the Soviet Union?","Хамза Хакімзаде Ніязі","1976-yilda Toshkentda ""Ilhom"" teatriga kim asos solgan, u Sovet Ittifoqidagi birinchi mustaqil teatr hisoblanadi?","Марк Вайль","Tamara Khanum","Mark Reyzen","Марк Вайль","Хамза Хакимзаде Ниязи","Mark Reizen","Tamara Xonum","Хто заснував у Ташкенті в 1976 році театр «Ільхом», що вважається першим незалежним театром у Радянському Союзі?","Hamza Hakimzade Nijazi","Mark Weil","d1d5ac89c0b34984a0e7d45e","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Карші","Какой крупный город является самым южным в Узбекистане, расположенным на реке Амударья прямо напротив Афганистана?","Нукус","A","Termez","Które jest najbardziej wysunięte na południe większe miasto Uzbekistanu, położone nad rzeką Amu-daria naprzeciw Afganistanu?","Нукус","Andijon","Карши","Termiz","Andijan","Nukus","Karszy","Which is Uzbekistan's southernmost major city, located on the Amu Darya river directly across from Afghanistan?","Андижан","Amudaryo bo'yida, Afg'oniston bilan yuzma-yuz joylashgan O'zbekistonning eng janubiy yirik shahri qaysi?","Термез","Nukus","Qarshi","Термез","Андижан","Karshi","Nukus","Яке велике місто є найпівденнішим в Узбекистані, розташованим на річці Амудар'я прямо навпроти Афганістану?","Andiżan","Termez","189bf7d3c25a4e368153ce25","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Бабуром","Город Нурата, где находится священный источник, связан по местной легенде с какой исторической личностью?","Чингісханом","A","Alexander the Great","Miasto Nurota, w którym znajduje się święte źródło, jest według lokalnej legendy związane z jaką postacią historyczną?","Чингисханом","Amir Temur","Бабуром","Iskandar Zulqarnayn","Amir Temur","Czyngis-chanem","Baburem","The town of Nurota, home to a sacred spring, is linked in local legend to which historical figure?","Аміром Темуром","Muqaddas buloq joylashgan Nurota shahri mahalliy afsonaga ko'ra qaysi tarixiy shaxs bilan bog'liq?","Александром Македонським","Genghis Khan","Bobur","Александром Македонским","Амиром Темуром","Babur","Chingizxon","Місто Нурота, де знаходиться священне джерело, пов'язане за місцевою легендою з якою історичною особою?","Amirem Timurem","Aleksandrem Wielkim","c970a7f533454ee39b7084c9","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Льодовикове гірське озеро","Озеро Айдаркуль, популярное место для юрточных лагерей и рыбалки, является крупным озером какого типа?","Природне вулканічне кратерне озеро","A","A largely artificial (man-made) lake","Jezioro Ajdarkul, popularne miejsce dla obozów jurtowych i wędkowania, jest dużym jeziorem jakiego rodzaju?","Природное вулканическое кратерное озеро","Dengiz sho'r qo'ltig'i","Ледниковое горное озеро","Asosan sun'iy (inson qo'li bilan yaratilgan) ko'l","A saltwater sea inlet","Naturalne jezioro kraterowe wulkaniczne","Lodowcowe jezioro górskie","Aydar Lake, a popular destination for yurt camps and fishing, is a large lake of what kind?","Морська солона затока","Yurta lagerlari va baliq ovlash uchun mashhur bo'lgan Aydarko'l ko'li qanday turdagi katta ko'l hisoblanadi?","В основному штучне (рукотворне) озеро","A natural volcanic crater lake","Muzlik tog' ko'li","В основном искусственное (рукотворное) озеро","Морской соляной залив","A glacial mountain lake","Tabiiy vulqon krateri ko'li","Озеро Айдаркуль, популярне місце для юрточних таборів і риболовлі, є великим озером якого типу?","Morska słona zatoka","W większości sztuczne (stworzone przez człowieka) jezioro","107feb1b6baa4b2c8fa5624c","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Уральські гори","Какой горный хребет, часть более обширной системы Тянь-Шаня, расположен к северо-востоку от Ташкента и включает популярную зону отдыха Чимган?","Гісарський хребет","A","The Chatkal Range","Które pasmo górskie, część szerszego systemu Tienszan, leży na północny wschód od Taszkentu i obejmuje popularny obszar wypoczynkowy Czimgan?","Гиссарский хребет","Pomir tizmasi","Уральские горы","Chotqol tizmasi","The Pamir Range","Pasmo Gissarskie","Góry Uralskie","Which mountain range, part of the wider Tian Shan system, lies northeast of Tashkent and includes the popular Chimgan resort area?","Памірський хребет","Tyan-Shan tizimining bir qismi bo'lib, Toshkentning shimoli-sharqida joylashgan va mashhur Chimyon dam olish maskanini o'z ichiga olgan tog' tizmasi qaysi?","Чаткальський хребет","The Gissar Range","Ural tog'lari","Чаткальский хребет","Памирский хребет","The Ural Mountains","Hisor tizmasi","Який гірський хребет, частина ширшої системи Тянь-Шаню, розташований на північний схід від Ташкента і включає популярну зону відпочинку Чимган?","Pasmo Pamirskie","Pasmo Czatkalskie","f1b82d7b5d9748f0b693e6ce","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Зарафшанський хребет","Самая высокая вершина Узбекистана, Хазрет-Султан, расположена в каком горном хребте?","Чаткальський хребет","A","The Gissar Range","Najwyższy szczyt Uzbekistanu, Chazret-Sułtan, znajduje się w którym paśmie górskim?","Чаткальский хребет","Nurota tizmasi","Зарафшанский хребет","Hisor tizmasi","The Nurota Range","Pasmo Czatkalskie","Pasmo Zarafszańskie","Uzbekistan's highest peak, Khazret Sultan, is located in which mountain range?","Нуратинський хребет","O'zbekistonning eng baland cho'qqisi Xazrati Sulton qaysi tog' tizmasida joylashgan?","Гісарський хребет","The Chatkal Range","Zarafshon tizmasi","Гиссарский хребет","Нуратинский хребет","The Zarafshan Range","Chotqol tizmasi","Найвища вершина Узбекистану, Хазрет-Султан, розташована в якому гірському хребті?","Pasmo Nuratyńskie","Pasmo Gissarskie","10fffcfbcc7a466bbcc06fd3","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Бухарський протекторат","Помимо 12 областей (вилоятов) и города Ташкента, какая ещё единица административного деления первого уровня существует в Узбекистане?","Ферганська федерація","A","The Republic of Karakalpakstan (autonomous republic)","Oprócz 12 regionów (wiloyatów) i miasta Taszkentu, jaka jest inna jednostka podziału administracyjnego pierwszego rzędu w Uzbekistanie?","Ферганская федерация","Xorazm ittifoqi","Бухарский протекторат","Qoraqalpog'iston Respublikasi (avtonom respublika)","The Khorezm Union","Federacja Fergańska","Protektorat Bucharski","Besides its 12 regions (viloyats) and the city of Tashkent, what is the other first-order administrative division of Uzbekistan?","Хорезмський союз","O'zbekistonning 12 viloyati va Toshkent shahridan tashqari yana qanday birinchi darajali ma'muriy bo'linish birligi mavjud?","Республіка Каракалпакстан (автономна республіка)","The Fergana Federation","Buxoro protektorati","Республика Каракалпакстан (автономная республика)","Хорезмский союз","The Bukhara Protectorate","Farg'ona federatsiyasi","Крім 12 областей (вілоятів) і міста Ташкента, яка ще одиниця адміністративного поділу першого рівня існує в Узбекистані?","Unia Chorezmska","Republika Karakałpakstanu (republika autonomiczna)","924b3fbb56e6499e8eb1ef64","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Сурхандар'їнській долині","Наманган, крупный город, известный своими базарами и садами, находится в какой долине?","Зарафшанській долині","A","The Fergana Valley","Namangan, duże miasto znane z bazarów i sadów, znajduje się w której dolinie?","Зарафшанской долине","Qashqadaryo vodiysida","Сурхандарьинской долине","Farg'ona vodiysida","The Kashkadarya Valley","Dolinie Zarafszańskiej","Dolinie Surchandaryjskiej","Namangan, a major city known for its bazaars and orchards, is located in which valley?","Кашкадар'їнській долині","Bozorlari va bog'lari bilan mashhur bo'lgan yirik shahar Namangan qaysi vodiyda joylashgan?","Ферганській долині","The Zarafshan Valley","Surxondaryo vodiysida","Ферганской долине","Кашкадарьинской долине","The Surkhandarya Valley","Zarafshon vodiysida","Наманган, велике місто, відоме своїми базарами та садами, знаходиться в якій долині?","Dolinie Kaszkadaryjskiej","Dolinie Fergańskiej","af0c4288eabe4e4ea8910752","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Ташкентська область","Какая из 12 областей (вилоятов) Узбекистана является самой большой по площади?","Андижанська область","A","Navoiy Region","Które z 12 regionów (wiloyatów) Uzbekistanu jest największe pod względem powierzchni?","Андижанская область","Sirdaryo viloyati","Ташкентская область","Navoiy viloyati","Sirdaryo Region","Region Andiżański","Region Taszkencki","Which of Uzbekistan's 12 regions (viloyats) is the largest by area?","Сирдар'їнська область","O'zbekistonning 12 viloyatidan qaysi biri hudud jihatidan eng kattasi hisoblanadi?","Навоїйська область","Andijan Region","Toshkent viloyati","Навоийская область","Сырдарьинская область","Tashkent Region","Andijon viloyati","Яка з 12 областей (вілоятів) Узбекистану є найбільшою за площею?","Region Syrdaryjski","Region Nawoi","c9b2e314d946478d802178c0","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Двадцять","Сколько объектов Узбекистана в настоящее время включено в Список Всемирного наследия ЮНЕСКО?","Три","A","Seven","Ile obiektów Uzbekistanu jest obecnie wpisanych na Listę Światowego Dziedzictwa UNESCO?","Три","O'n ikki","Двадцать","Yetti","Twelve","Trzy","Dwadzieścia","How many properties does Uzbekistan currently have inscribed on the UNESCO World Heritage List?","Дванадцять","Hozirgi vaqtda O'zbekistonning nechta obyekti YuNESKO Butunjahon merosi ro'yxatiga kiritilgan?","Сім","Three","Yigirma","Семь","Двенадцать","Twenty","Uch","Скільки об'єктів Узбекистану наразі включено до Списку Всесвітньої спадщини ЮНЕСКО?","Dwanaście","Siedem","edeacab9ad65495a9d8a90bf","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Китаєм та Монголією","Западный Тянь-Шань, природный объект Всемирного наследия ЮНЕСКО, разделён между Узбекистаном и какими ещё странами?","Таджикистаном і Афганістаном","A","Kazakhstan and Kyrgyzstan","Zachodni Tienszan, przyrodniczy obiekt Światowego Dziedzictwa UNESCO, jest dzielony między Uzbekistan a którymi innymi krajami?","Таджикистаном и Афганистаном","Turkmaniston va Eron","Китаем и Монголией","Qozog'iston va Qirg'iziston","Turkmenistan and Iran","Tadżykistanem i Afganistanem","Chinami i Mongolią","The Western Tien-Shan, a UNESCO natural World Heritage site, is shared between Uzbekistan and which other countries?","Туркменістаном та Іраном","YuNESKO Butunjahon tabiiy merosi obyekti bo'lgan G'arbiy Tyan-Shan O'zbekiston bilan yana qaysi davlatlar o'rtasida bo'lingan?","Казахстаном і Киргизстаном","Tajikistan and Afghanistan","Xitoy va Mongoliya","Казахстаном и Киргизией","Туркменистаном и Ираном","China and Mongolia","Tojikiston va Afg'oniston","Західний Тянь-Шань, природний об'єкт Всесвітньої спадщини ЮНЕСКО, поділений між Узбекистаном та якими ще країнами?","Turkmenistanem i Iranem","Kazachstanem i Kirgistanem","b69d8330eaae400b9da6492b","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"2015","Участок древнего Шёлкового пути «Зарафшан-Каракумский коридор» был включён в Список Всемирного наследия ЮНЕСКО в каком году?","2010","A","2023","Odcinek starożytnego Jedwabnego Szlaku ""Korytarz Zarafszan-Karakum"" został wpisany na Listę Światowego Dziedzictwa UNESCO w którym roku?","2010","2001-yil","2015","2023-yil","2001","2010","2015","The ""Zarafshan-Karakum Corridor"", a section of the ancient Silk Road, was added to the UNESCO World Heritage List in which year?","2001","Qadimiy Ipak yo'lining bir qismi bo'lgan ""Zarafshon-Qorako'm yo'lagi"" YuNESKO Butunjahon merosi ro'yxatiga qaysi yilda kiritilgan?","2023","2010","2015-yil","2023","2001","2015","2010-yil","Ділянка давнього Шовкового шляху «Зарафшан-Каракумський коридор» була включена до Списку Всесвітньої спадщини ЮНЕСКО у якому році?","2001","2023","d61980ad2c8c4df7a6669415","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Афганістаном та Пакистаном","Ташкентская декларация января 1966 года, заключённая при посредничестве СССР, была мирным соглашением между какими двумя странами?","Китаєм та Індією","A","India and Pakistan","Deklaracja Taszkencka ze stycznia 1966 roku, zawarta przy mediacji ZSRR, była porozumieniem pokojowym między którymi dwoma krajami?","Китаем и Индией","Eron va Iroq","Афганистаном и Пакистаном","Hindiston va Pokiston","Iran and Iraq","Chinami a Indiami","Afganistanem a Pakistanem","The Tashkent Declaration of January 1966, mediated by the Soviet Union, was a peace agreement between which two countries?","Іраном та Іраком","1966-yil yanvar oyida SSSR vositachiligida imzolangan Toshkent Deklaratsiyasi qaysi ikki davlat o'rtasidagi tinchlik bitimi edi?","Індією та Пакистаном","China and India","Afg'oniston va Pokiston","Индией и Пакистаном","Ираном и Ираком","Afghanistan and Pakistan","Xitoy va Hindiston","Ташкентська декларація січня 1966 року, укладена за посередництва СРСР, була мирною угодою між якими двома країнами?","Iranem a Irakiem","Indiami a Pakistanem","5434075c60fb4b0f826ecfb0","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
