"question_text_en","time_limit","subject","options_en","target_language","correct_answer","options_uz","points","options_pl","question_text_az","options_tr","question_text_pl","explanation_ru","options_az","question_text_tr","explanation_tr","question_text_ru","explanation_pl","explanation_az","source_language","options_ru","difficulty","explanation_en","explanation_uz","question_text_uz","id","created_date","updated_date","created_by_id","created_by","is_sample"
"What does the Italian word ""Piazza"" mean?","12","languages","[""Pizza"",""Square/Plaza"",""Place"",""Plate""]","","1","[""Pitsa"",""Maydon/Maydon"",""Joy"",""Tarelka""]","1","[""Pizza"",""Plac"",""Miejsce"",""Talerz""]","İtalyanca ""Piazza"" sözü nə deməkdir?","[""Pizza"",""Meydan/Plaza"",""Yer"",""Tabak""]","Co oznacza włoskie słowo „Piazza”?","","[""Pizza"",""Meydan/Meydan"",""Yer"",""Boşqab""]","İtalyanca ""Piazza"" kelimesi ne anlama gelir?","","Что означает итальянское слово ""Piazza""?","","","","[""Пицца"",""Площадь/Площадь"",""Место"",""Тарелка""]","5","","","""Piazza"" italyancha so'zi nimani anglatadi?","6986731850f06902496b3fe3","2026-02-06T23:02:48.591000","2026-07-08T20:43:51.748000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"How do you say ""I love you"" in French?","12","languages","[""Je t'aime"",""Je vous en prie"",""C'est la vie"",""Mon ami""]","","0","[""Je t'aime"",""Je vous en prie"",""C'est la vie"",""Mon ami""]","1","[""Je t'aime"",""Je vous en prie"",""C'est la vie"",""Mon ami""]","Fransız dilində ""Səni sevirəm"" necə deyilir?","[""Je t'aime"",""Je vous en prie"",""C'est la vie"",""Mon ami""]","Jak powiedzieć „kocham cię” po francusku?","","[""Je t'aime"",""Je vous en prie"",""C'est la vie"",""Mon ami""]","Fransızca'da ""Seni seviyorum"" nasıl söylenir?","","Как сказать ""Я люблю тебя"" по-французски?","","","","[""Je t'aime"",""Je vous en prie"",""C'est la vie"",""Mon ami""]","5","","","Fransuz tilida ""Men seni sevaman"" qanday aytiladi?","698673183329a9ae87ce610a","2026-02-06T23:02:48.472000","2026-07-08T20:43:58.814000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"Translate the German word ""Brücke"" to English:","12","languages","[""Building"",""Bridge"",""Road"",""River""]","","1","[""Bino"",""Ko'prik"",""Yo'l"",""Daryo""]","1","[""Building"",""Bridge"",""Road"",""River""]","Almanca ""Brücke"" sözünü ingilis dilinə tərcümə edin:","[""Bina"",""Köprü"",""Yol"",""Nehir""]","Przetłumacz niemieckie słowo ""Brücke"" na język angielski:","","[""Bina"",""Körpü"",""Yol"",""Çay""]","Almanca ""Brücke"" kelimesini İngilizceye çevirin:","","Переведите немецкое слово ""Brücke"" на английский:","","","","[""Здание"",""Мост"",""Дорога"",""Река""]","5","","","Nemischa ""Brücke"" so'zini inglizchaga tarjima qiling:","69867318c42b494e4ae39d39","2026-02-06T23:02:48.371000","2026-07-08T20:44:00.116000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"What is the meaning of the Greek word ""Philo""?","12","languages","[""Hatred"",""Love"",""Wisdom"",""Fear""]","","1","[""Nafrat"",""Sevgi"",""Donolik"",""Qo'rquv""]","1","[""Nienawiść"",""Miłość"",""Mądrość"",""Strach""]","Yunanca ""Filo"" sözünün mənası nədir?","[""Nefret"",""Sevgi"",""Bilgelik"",""Korku""]","Co oznacza greckie słowo „philo”?","","[""Nifrət"",""Sevgi"",""Hikmət"",""Qorxu""]","Yunanca ""Philo"" kelimesinin anlamı nedir?","","Что означает греческое слово ""Филон""?","Przedrostek lub słowo „philo” pochodzi z języka greckiego i oznacza miłość, upodobanie lub przyjaźń.","","","[""Ненависть"",""Любовь"",""Мудрость"",""Страх""]","5","","","Yunoncha ""Filo"" so'zining ma'nosi nima?","69867318f5bdd1192cf0afcc","2026-02-06T23:02:48.264000","2026-07-08T20:44:02.672000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"In Swedish, what does ""Skål"" mean?","12","languages","[""Hello"",""Cheers"",""Goodbye"",""Thanks""]","","1","[""Salom"",""Hurmat bilan"",""Xayr"",""Rahmat""]","1","[""Cześć"",""Na zdrowie"",""Do widzenia"",""Dziękuję""]","İsveç dilində ""Skål"" nə deməkdir?","[""Merhaba"",""Selamlar"",""Hoşça kalın"",""Teşekkürler""]","Co w języku szwedzkim oznacza słowo „Skål”?","","[""Salam"",""Sağ olun"",""Əlvida"",""Təşəkkürlər""]","İsveççe'de ""Skål"" ne anlama gelir?","","Что означает слово ""Skål"" на шведском языке?","","","","[""Привет"",""С уважением"",""До свидания"",""Спасибо""]","5","","","Shved tilida ""Skål"" nimani anglatadi?","698673180c4c3c79b3973151","2026-02-06T23:02:48.164000","2026-07-08T20:44:17.192000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"How do you say ""Happy Birthday"" in Spanish?","12","languages","[""Feliz Navidad"",""Feliz Cumpleaños"",""Buen Viaje"",""Hasta Luego""]","","1","[""Feliz Navidad"",""Feliz Cumpleaños"",""Buen Viaje"",""Hasta Luego""]","1","[""Feliz Navidad"",""Feliz Cumpleaños"",""Buen Viaje"",""Hasta Luego""]","İspan dilində ""Ad günün mübarək"" necə deyilir?","[""Feliz Navidad"",""Feliz Cumpleaños"",""Buen Viaje"",""Hasta Luego""]","Jak powiedzieć „wszystkiego najlepszego z okazji urodzin” po hiszpańsku?","","[""Feliz Navidad"",""Feliz Cumpleaños"",""Buen Viaje"",""Hasta Luego""]","İspanyolca'da ""Doğum günün kutlu olsun"" nasıl söylenir?","","Как сказать ""С днем ​​рождения"" по-испански?","","","","[""Фелис Навидад"",""Фелис Кумплеаньос"",""Буэн Виахе"",""Хаста Луэго""]","5","","","Ispan tilida ""Tug'ilgan kuningiz bilan"" qanday aytiladi?","698673184018a0e23efcb6e4","2026-02-06T23:02:48.038000","2026-07-08T20:44:20.718000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"Which language is ""Flemish"" a variant of?","12","languages","[""French"",""German"",""Dutch"",""Danish""]","","2","[""Fransuzcha"",""Nemischa"",""Gollandcha"",""Danchacha""]","1","[""francuskiego"",""niemieckiego"",""niderlandzkiego"",""duńskiego""]","""Flamand"" hansı dildə sözlərin bir variantıdır?","[""Fransızca"",""Almanca"",""Hollandaca"",""Danca""]","Odmianą jakiego języka jest język flamandzki?","","[""Fransız"",""Alman"",""Holland"",""Danimarka""]","""Felemenkçe"" hangi dilin bir varyantıdır?","","Вариантом какого языка является фламандский?","","","","[""Французский"",""Немецкий"",""Голландский"",""Датский""]","5","","","""Flamandcha"" qaysi tilning bir varianti?","69867317cdb90a91b1f4017e","2026-02-06T23:02:47.923000","2026-07-08T20:44:23.020000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"What is the translation of the Latin word ""Aqua""?","12","languages","[""Fire"",""Water"",""Air"",""Earth""]","","1","[""Olov"",""Suv"",""Havo"",""Yer""]","1","[""Ogień"",""Woda"",""Powietrze"",""Ziemia""]","Latınca ""Aqua"" sözünün tərcüməsi nədir?","[""Ateş"",""Su"",""Hava"",""Toprak""]","Jak brzmi polskie tłumaczenie łacińskiego słowa „Aqua”?","","[""Od"",""Su"",""Hava"",""Torpaq""]","Latince ""Aqua"" kelimesinin çevirisi nedir?","","Как переводится латинское слово ""Aqua""?","","","","[""Огонь"",""Вода"",""Воздух"",""Земля""]","5","","","Lotincha ""Aqua"" so'zining tarjimasi qanday?","698673170b19fd7dcefad431","2026-02-06T23:02:47.811000","2026-07-08T20:44:26.828000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"In French, what color is ""Jaune""?","12","languages","[""Red"",""Blue"",""Yellow"",""Green""]","","2","[""Qizil"",""Moviy"",""Sariq"",""Yashil""]","1","[""Czerwony"",""Niebieski"",""Żółty"",""Zielony""]","Fransız dilində ""Jaune"" hansı rəngdir?","[""Kırmızı"",""Mavi"",""Sarı"",""Yeşil""]","Jaki to kolor w języku francuskim: „Jaune”?","","[""Qırmızı"",""Mavi"",""Sarı"",""Yaşıl""]","Fransızcada ""jaune"" hangi renktir?","","Как называется цвет ""Jaune"" по-французски?","","","","[""Красный"",""Синий"",""Желтый"",""Зеленый""]","5","","","Fransuz tilida ""Jaune"" qanday rang?","69867317607930a3011a9b07","2026-02-06T23:02:47.712000","2026-07-08T20:44:27.881000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"What is the English translation of the Spanish word ""Fuego""?","12","languages","[""Water"",""Earth"",""Fire"",""Air""]","","2","[""Suv"",""Yer"",""Olov"",""Havo""]","1","[""Water"",""Earth"",""Fire"",""Air""]","İspan dilindəki ""Fuego"" sözünün ingilis dilinə tərcüməsi nədir?","[""Su"",""Toprak"",""Ateş"",""Hava""]","Jakie jest angielskie tłumaczenie hiszpańskiego słowa „Fuego”?","","[""Su"",""Torpaq"",""Od"",""Hava""]","İspanyolca ""Fuego"" kelimesinin İngilizce karşılığı nedir?","","Как перевести испанское слово ""Fuego"" на английский?","","","","[""Вода"",""Земля"",""Огонь"",""Воздух""]","5","","","Ispancha ""Fuego"" so'zining inglizcha tarjimasi qanday?","69867317337e88dd8815d303","2026-02-06T23:02:47.584000","2026-07-08T20:44:29.212000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"How do you say ""No"" in Greek?","12","languages","[""Nai"",""Ochi"",""Nein"",""Da""]","","1","[""Nai"",""Ochi"",""Nein"",""Da""]","1","[""Nai"",""Ochi"",""Nein"",""Da""]","Yunan dilində ""Xeyr"" necə deyilir?","[""Nai"",""Ochi"",""Nein"",""Da""]","Jak powiedzieć „nie” po grecku?","","[""Nai"",""Ochi"",""Nein"",""Da""]","Yunanca'da ""Hayır"" nasıl söylenir?","","Как сказать ""нет"" по-гречески?","","","","[""Най"",""Очи"",""Нейн"",""Да""]","5","","","Yunon tilida ""yo'q"" qanday aytiladi?","69867317187e8440b2e94c0c","2026-02-06T23:02:47.489000","2026-07-08T20:48:30.758000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"What does ""Jambo"" mean in Swahili?","12","languages","[""Goodbye"",""Hello"",""Hungry"",""Friend""]","","1","[""Xayr"",""Salom"",""Och"",""Do'st""]","1","[""Do widzenia"",""Cześć"",""Głodny"",""Przyjaciel""]","Suahili dilində ""Jambo"" nə deməkdir?","[""Hoşça kal"",""Merhaba"",""Acıktım"",""Arkadaş""]","Co oznacza słowo „Jambo” w języku suahili?","","[""Əlvida"",""Salam"",""Ac"",""Dost""]","""Jambo"" kelimesi Svahili dilinde ne anlama geliyor?","","Что означает слово ""Джамбо"" на суахили?","","","","[""До свидания"",""Привет"",""Голодный"",""Друг""]","5","","","""Jambo"" so'zi suahili tilida nimani anglatadi?","69867317a9292334eaeea409","2026-02-06T23:02:47.373000","2026-07-08T20:48:32.181000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"In Dutch, what is a ""Fiets""?","12","languages","[""Fish"",""Bicycle"",""Flat"",""Car""]","","1","[""Baliq"",""Velosiped"",""Kvartira"",""Avtomobil""]","1","[""Ryba"",""Rower"",""Mieszkanie"",""Samochód""]","Holland dilində ""Fiets"" nədir?","[""Balık"",""Bisiklet"",""Patlak"",""Araba""]","Czym jest ""Fiets"" w języku niderlandzkim?","","[""Balıq"",""Velosiped"",""Mənzil"",""Avtomobil""]","Hollandaca'da ""Fiets"" nedir?","","Что такое ""Fiets"" на голландском языке?","","","","[""Рыба"",""Велосипед"",""Плоская крыша"",""Автомобиль""]","5","","","Golland tilida ""Fiets"" nima?","69867317830f1833aec83501","2026-02-06T23:02:47.270000","2026-07-08T20:48:41.757000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"Which language uses the ""Hanja"" script?","12","languages","[""Japanese"",""Korean"",""Chinese"",""Vietnamese""]","","1","[""Yaponcha"",""Koreyscha"",""Xitoycha"",""Vetnamcha""]","1","[""japoński"",""koreański"",""chiński"",""wietnamski""]","Hansı dildə ""Hanja"" yazısı istifadə olunur?","[""Japonca"",""Korece"",""Çince"",""Vietnamca""]","W jakim języku używa się pisma ""Hanja""?","","[""Yapon"",""Koreya"",""Çin"",""Vyetnam""]","""Hanja"" alfabesini hangi dil kullanır?","","В каком языке используется письменность ""ханджа""?","","","","[""Японский"",""Корейский"",""Китайский"",""Вьетнамский""]","5","","","""Hanja"" yozuvi qaysi tilda qo'llaniladi?","69867317b2cddbd9946b003e","2026-02-06T23:02:47.157000","2026-07-08T20:48:43.066000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"Translate the Portuguese word ""Pão"" to English:","12","languages","[""Pan"",""Bread"",""Cake"",""Fruit""]","","1","[""Tova"",""Non"",""Kek"",""Meva""]","1","[""Pan"",""Bread"",""Cake"",""Fruit""]","Portuqalca ""Pão"" sözünü ingilis dilinə tərcümə edin:","[""Tava"",""Ekmek"",""Kek"",""Meyve""]","Przetłumacz portugalskie słowo „Pão” na język angielski:","","[""Tav"",""Çörək"",""Tort"",""Meyvə""]","Portekizce ""Pão"" kelimesini İngilizceye çevir:","","Переведите португальское слово ""Pão"" на английский:","","","","[""Сковорода"",""Хлеб"",""Пирог"",""Фрукты""]","5","","","Portugalcha ""Pão"" so'zini ingliz tiliga tarjima qiling:","69867317bea6014cdb76d0d4","2026-02-06T23:02:47.042000","2026-07-08T20:49:04.745000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"What does the Japanese word ""Sayonara"" mean?","12","languages","[""Hello"",""Please"",""Goodbye"",""Thank you""]","","2","[""Salom"",""Iltimos"",""Xayr"",""Rahmat""]","1","[""Dzień dobry"",""Proszę"",""Do widzenia"",""Dziękuję""]","Yapon dilində ""Sayonara"" sözü nə deməkdir?","[""Merhaba"",""Lütfen"",""Hoşça kalın"",""Teşekkür ederim""]","Co oznacza japońskie słowo „Sayonara”?","","[""Salam"",""Xahiş edirəm"",""Əlvida"",""Təşəkkür edirəm""]","Japonca ""Sayonara"" kelimesi ne anlama gelir?","","Что означает японское слово ""Саёнара""?","","","","[""Здравствуйте"",""Пожалуйста"",""До свидания"",""Спасибо""]","5","","","Yaponcha ""Sayonara"" so'zi nimani anglatadi?","698673162a6caea7aea341a1","2026-02-06T23:02:46.946000","2026-07-08T20:49:05.945000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"How do you say ""Good Morning"" in German?","12","languages","[""Guten Morgen"",""Guten Tag"",""Gute Nacht"",""Hallo""]","","0","[""Guten Morgen"",""Guten Tag"",""Gute Nacht"",""Salom""]","1","[""Guten Morgen"",""Guten Tag"",""Gute Nacht"",""Hallo""]","Alman dilində ""Sabahınız xeyir"" necə deyilir?","[""Guten Morgen"",""Guten Etiketi"",""Gute Nacht"",""Merhaba""]","Jak powiedzieć „dzień dobry” po niemiecku?","","[""Guten Morgen"",""Quten Tag"",""Qute Nacht"",""Hallo""]","Almanca'da ""Günaydın"" nasıl söylenir?","","Как сказать ""Доброе утро"" по-немецки?","","","","[""Гутен Морген"",""Гутен Таг"",""Гуте Нахт"",""Привет""]","5","","","Nemis tilida ""Xayrli tong"" qanday aytiladi?","6986731626c7b6c7356d1863","2026-02-06T23:02:46.851000","2026-07-08T20:49:09.527000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"Which language is known as ""The Language of Love""?","12","languages","[""Italian"",""Spanish"",""French"",""Portuguese""]","","2","[""Italyancha"",""Ispancha"",""Fransuzcha"",""Portugalcha""]","1","[""włoski"",""hiszpański"",""francuski"",""portugalski""]","Hansı dil ""Sevgi Dili"" adlanır?","[""İtalyanca"",""İspanyolca"",""Fransızca"",""Portekizce""]","Który język jest znany jako ""język miłości""?","","[""İtalyan"",""İspan"",""Fransız"",""Portuqal""]","""Sevginin Dili"" olarak bilinen dil hangisidir?","","Какой язык известен как ""Язык любви""?","","","","[""Итальянский"",""Испанский"",""Французский"",""Португальский""]","5","","","Qaysi til ""Sevgi tili"" deb ataladi?","69867316607930a3011a9b06","2026-02-06T23:02:46.724000","2026-07-08T20:49:10.914000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"In Arabic, what does ""Salam"" mean?","12","languages","[""War"",""Peace"",""Health"",""Wealth""]","","1","[""Urush"",""Tinchlik"",""Sog'liq"",""Boylik""]","1","[""Wojna"",""Pokój"",""Zdrowie"",""Bogactwo""]","Ərəb dilində ""Salam"" nə deməkdir?","[""Savaş"",""Barış"",""Sağlık"",""Zenginlik""]","Co oznacza słowo „Salam” w języku arabskim?","","[""Müharibə"",""Sülh"",""Sağlamlıq"",""Sərvət""]","Arapçada ""Selam"" ne anlama gelir?","","Что означает слово ""Салам"" на арабском языке?","","","","[""Война"",""Мир"",""Здоровье"",""Богатство""]","5","","","Arab tilida ""Salom"" so'zi nimani anglatadi?","6986731626c7b6c7356d1862","2026-02-06T23:02:46.572000","2026-07-08T20:49:13.072000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"What is the English translation of the French word ""Château""?","12","languages","[""Cathedral"",""Castle"",""Bridge"",""Forest""]","","1","[""Sobor"",""Qal'a"",""Ko'prik"",""O'rmon""]","1","[""Cathedral"",""Castle"",""Bridge"",""Forest""]","Fransızca ""Château"" sözünün ingiliscə tərcüməsi nədir?","[""Katedral"",""Kale"",""Köprü"",""Orman""]","Jakie jest angielskie tłumaczenie francuskiego słowa „Château”?","","[""Katedr"",""Qala"",""Körpü"",""Meşə""]","Fransızca ""Château"" kelimesinin İngilizce karşılığı nedir?","","Как перевести на английский французское слово ""Château""?","Słowo „château” oznacza w języku francuskim zamek (castle).","","","[""Собор"",""Замок"",""Мост"",""Лес""]","5","","","Fransuzcha ""Château"" so'zining inglizcha tarjimasi qanday?","698673166b1f49d75233fd1d","2026-02-06T23:02:46.436000","2026-07-08T20:49:14.374000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"How do you say ""Beer"" in Spanish?","12","languages","[""Vino"",""Leche"",""Cerveza"",""Agua""]","","2","[""Vino"",""Leche"",""Cerveza"",""Agua""]","1","[""Vino"",""Leche"",""Cerveza"",""Agua""]","İspan dilində ""Pivə"" necə deyilir?","[""Vino"",""Leche"",""Cerveza"",""Agua""]","Jak po hiszpańsku powiedzieć „piwo”?","","[""Vino"",""Leche"",""Cerveza"",""Agua""]","İspanyolcada ""Bira"" nasıl söylenir?","","Как сказать ""пиво"" ​​по-испански?","","","","[""Вино"",""Лече"",""Сервеза"",""Агуа""]","5","","","Ispan tilida ""Pivo"" qanday aytiladi?","69867316a69f4f6f660ea724","2026-02-06T23:02:46.303000","2026-07-08T20:49:16.555000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"Which language family does Hungarian belong to?","12","languages","[""Indo-European"",""Uralic"",""Turkic"",""Semitic""]","","1","[""Hind-Yevropa"",""Ural"",""Turkiy"",""Semit""]","1","[""indoeuropejskiej"",""uralskiej"",""turkijskiej"",""semickiej""]","Macar dili hansı dil ailəsinə aiddir?","[""Hint-Avrupa"",""Ural"",""Türk"",""Semitik""]","Do której rodziny językowej należy język węgierski?","","[""Hind-Avropa"",""Ural"",""Türk"",""Semit""]","Macarca hangi dil ailesine aittir?","","К какой языковой семье принадлежит венгерский язык?","","","","[""Индоевропейский"",""Уралийский"",""Туркский"",""Семитский""]","5","","","Venger tili qaysi til oilasiga mansub?","69867316b7073325d20a5c0b","2026-02-06T23:02:46.192000","2026-07-08T20:49:17.773000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"Translate ""Escritorio"" from Spanish to English:","12","languages","[""School"",""Desk"",""Library"",""Pen""]","","1","[""Maktab"",""Port"",""Kutubxona"",""Ruchka""]","1","[""School"",""Desk"",""Library"",""Pen""]","""Escritorio"" sözünü ispan dilindən ingilis dilinə tərcümə edin:","[""Okul"",""Sıra"",""Kütüphane"",""Kalem""]","Przetłumacz słowo „Escritorio” z języka hiszpańskiego na angielski:","","[""Məktəb"",""Partiya"",""Kitabxana"",""Qələm""]","""Escritorio"" kelimesini İspanyolcadan İngilizceye çevirin:","","Переведите слово ""Escritorio"" с испанского на английский:","Słowo „escritorio” w języku hiszpańskim oznacza biurko.","","","[""Школа"",""Парта"",""Библиотека"",""Ручка""]","5","","","""Escritorio"" ni ispan tilidan ingliz tiliga tarjima qiling:","698673168cf194e95566c32c","2026-02-06T23:02:46.085000","2026-07-08T20:49:19.274000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"What does ""Ciao"" mean in Italian?","12","languages","[""Hello"",""Goodbye"",""Both Hello and Goodbye"",""Neither""]","","2","[""Salom"",""Xayr"",""Ham salom, ham xayr"",""Ikkalasining ham""]","1","[""Cześć (powitanie)"",""Do widzenia (pożegnanie)"",""Zarówno powitanie, jak i pożegnanie"",""Żadne z powyższych""]","""Ciao"" italyan dilində nə deməkdir?","[""Merhaba"",""Hoşça kal"",""Hem merhaba hem hoşça kal"",""Hiçbiri""]","Co oznacza włoskie słowo „Ciao”?","","[""Salam"",""Əlvida"",""Həm salam, həm də əlvida"",""Heç biri""]","""Ciao"" İtalyancada ne anlama gelir?","","Что означает ""Ciao"" по-итальянски?","","","","[""Привет"",""До свидания"",""И привет, и прощание"",""Ни то, ни другое""]","5","","","""Ciao"" italyan tilida nimani anglatadi?","69867315bb634ef46d8215c4","2026-02-06T23:02:45.966000","2026-07-08T20:49:20.540000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"How do you say ""Yes"" in Russian?","12","languages","[""Nyet"",""Da"",""Privyet"",""Spasiba""]","","1","[""Nyet"",""Da"",""Privyet"",""Spasiba""]","1","[""Nyet"",""Da"",""Privyet"",""Spasiba""]","Rus dilində ""Bəli"" necə deyilir?","[""Nyet"",""Da"",""Privyet"",""Spasiba""]","Jak po rosyjsku powiedzieć „tak”?","","[""Nyet"",""Da"",""Privyet"",""Spasiba""]","Rusçada ""Evet"" nasıl söylenir?","","Как сказать ""да"" по-русски?","","","","[""Нет"",""Да"",""Привет"",""Спасиба""]","5","","","Rus tilida ""ha"" deb qanday aytasiz?","698673156f1824e0c0afa5f7","2026-02-06T23:02:45.860000","2026-07-08T20:49:21.943000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"Which language is the ""Oldest"" continuously written language?","12","languages","[""Sanskrit"",""Greek"",""Chinese"",""Egyptian""]","","2","[""Sanskritcha"",""yunoncha"",""xitoycha"",""misrlikcha""]","1","[""Sanskrit"",""Greek"",""Chinese"",""Egyptian""]","Ən qədim davamlı yazılı dil hansıdır?","[""Sanskritçe"",""Yunanca"",""Çince"",""Mısır dili""]","Który z wymienionych języków jest najstarszym językiem używanym nieprzerwanie w formie pisanej?","","[""Sanskrit"",""Yunan"",""Çin"",""Misir""]","Kesintisiz yazılı olarak kullanılan en eski dil hangisidir?","","Какой язык является старейшим языком непрерывной письменности?","","","","[""Санскрит"",""Греческий"",""Китайский"",""Египетский""]","5","","","""Eng qadimgi"" uzluksiz yozma til qaysi til?","6986731531b2618b46dfe961","2026-02-06T23:02:45.749000","2026-07-08T20:49:39.957000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"What is the translation of ""Gata"" in Portuguese?","12","languages","[""Dog"",""Cat"",""Bird"",""Horse""]","","1","[""It"",""Mushuk"",""Qush"",""Ot""]","1","[""Pies"",""Kot"",""Ptak"",""Koń""]","""Gata"" sözünün portuqal dilinə tərcüməsi nədir?","[""Köpek"",""Kedi"",""Kuş"",""At""]","Jakie jest tłumaczenie słowa „Gata” z języka portugalskiego?","","[""İt"",""Pişik"",""Quş"",""At""]","""Gata"" kelimesinin Portekizce karşılığı nedir?","","Как переводится слово ""Gata"" на португальский язык?","","","","[""Собака"",""Кошка"",""Птица"",""Лошадь""]","5","","","""Gata"" so'zining portugal tiliga tarjimasi qanday?","6986731552849b0916db6c3a","2026-02-06T23:02:45.648000","2026-07-08T20:49:41.227000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"Translate the German word ""Zeit"" to English:","12","languages","[""Space"",""Time"",""Future"",""World""]","","1","[""Makon"",""Vaqt"",""Kelajak"",""Dunyo""]","1","[""Space"",""Time"",""Future"",""World""]","Almanca ""Zeit"" sözünü ingilis dilinə tərcümə edin:","[""Uzay"",""Zaman"",""Gelecek"",""Dünya""]","Przetłumacz niemieckie słowo „Zeit” na język angielski:","","[""Məkan"",""Zaman"",""Gələcək"",""Dünya""]","Almanca ""Zeit"" kelimesini İngilizceye çevirin:","","Переведите немецкое слово ""Zeit"" на английский:","","","","[""Пространство"",""Время"",""Будущее"",""Мир""]","5","","","Nemischa ""Zeit"" so'zini ingliz tiliga tarjima qiling:","69867315a598124f0f6f0b10","2026-02-06T23:02:45.545000","2026-07-08T20:49:42.565000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
